GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		atan_tmp
83.15624000		83.43842280		-9.83560644		-130		-7.84376006		-5.68852927		2.82208461
83.15624000		83.81987525		-9.45415400		-108		-6.53174094		-7.05387614		2.46813177
79.82757000		80.05001186		-9.10681116		-140		-8.40644682		-10.86159569		2.50599074
79.82757000		80.34731634		-8.80950667		-174		-10.44929881		-10.79357884		2.54211603
75.19228000		75.33742684		-8.54878573		-203		-12.21631003		-15.88003529		2.61873780
75.19228000		75.66670145		-8.21951112		-247		-14.83261728		-15.61265398		2.68051796
79.88037000		80.16277691		-7.81354422		-225		-13.55363669		-10.07243374		2.66783732
79.88037000		80.60122282		-7.37509831		-176		-10.56201252		-9.66784303		2.70149088
81.45256000		81.72758577		-6.86496646		-156		-9.41227196		-8.55801164		2.71821262
81.45256000		82.22847106		-6.36408117		-143		-8.61385510		-8.08316336		2.74438164
82.68088000		82.94975532		-5.97080632		-133		-8.00255237		-7.54421491		2.74439734
82.68088000		83.30067855		-5.61988308		-125		-7.53913042		-7.21080213		2.76648258
84.64135000		84.88433271		-5.26054574		-112		-6.77407134		-5.62804101		2.76712495
84.64135000		85.19971629		-4.94516217		-95		-5.72355301		-5.32531527		2.77987623
84.21783000		84.40902297		-4.67223767		-95		-5.72724388		-6.14755539		2.81156121
84.21783000		84.67275269		-4.40850795		-103		-6.20896634		-6.18461753		2.82461137
85.05843000		84.91109614		-4.17016450		-102		-6.13783766		-5.91337986		2.79182759
85.05843000		85.14586529		-3.93539535		-97		-0.65621743		-5.38270196		2.49599641
83.64140000		83.78496334		-3.66212962		-98		-5.90129493		-6.88075007		2.51504188
83.64140000		84.06156106		-3.38553190		-108		-6.50528050		-6.62766038		2.53859949
85.90369000		84.30332157		-3.14377140		-109		-6.59581411		-6.38992087		2.54256463
85.90369000		84.56142792		-2.88566504		-106		-6.36686531		-6.15258202		2.56341734
86.53960000		86.76782298		-2.56149142		-91		-5.46679805		-4.11235503		2.53062101
86.53960000		87.07696588		-2.25234852		-72		-4.33481123		-3.81026010		2.53857296
87.03748000		87.16227341		-1.99813618		-64		-2.91574478		-3.71596973		2.52964631
87.03748000		87.38967367		-1.77073592		-61		-3.67520271		-3.49665306		2.53560433
87.07605000		87.20282872		-1.56434024		-60		-3.63907671		-3.75988457		2.53016491
87.07605000		87.38854418		-1.37862478		-61		-3.70070234		-3.58047455		2.53652925
88.08350000		88.18283346		-1.19146129		-56		-3.37479147		-2.77947492		2.52784137
88.08350000		88.37529895		-0.99899580		-47		-0.18774961		-2.58591348		2.52871604
89.09325000		89.21742189		-0.80514297		-34		-2.06760110		-0.88718392		2.27152243
89.09325000		89.39650132		-0.62606354		-16		-1.00244686		-0.69875178		2.26224219
89.12188000		89.21369603		-0.49075129		-13		-0.80399281		-0.85195257		2.23269156
89.12188000		89.28430307		-0.42014425		-13		-0.82724090		-0.77298339		2.22386984
87.41050000		87.43787593		-0.38073939		-26		-1.61604418		-2.75010232		2.22770183
87.41050000		87.48408895		-0.33452638		-45		-2.71868068		-2.70704108		2.23083110
89.13936000		89.18773097		-0.26799804		-35		-2.12782301		-0.97915523		2.20658089
89.13936000		89.31894247		-0.13678654		-19		-1.18391227		-0.83994354		2.19847432
88.87961000		88.97791270		0.04621587		-20		-1.20686018		-1.93072936		2.19250027
88.87961000		89.08750378		0.15580695		-29		-1.78853205		-1.81834993		2.19042746
89.82028000		89.84389538		0.19112001		-23		-1.40935945		-0.83709198		1.96556051
89.82028000		89.93705559		0.28428023		-14		-0.85172396		-0.73604978		1.95761926
88.46442000		88.56501014		0.42319015		-18		-1.11395000		-1.53199426		1.94642514
88.46442000		88.62957221		0.48775223		-25		-1.50869657		-1.46427677		1.94331925
88.64781000		88.66221346		0.52039347		-24		-1.46306280		-1.42152187		1.93319493
88.64781000		88.75916594		0.61734596		-23		-1.41085602		-1.32342647		1.92948929
89.91221000		89.99264716		0.73522098		-18		-1.11533807		-0.71380954		1.89218743
89.91221000		90.08583105		0.82840487		-12		-0.73295914		-0.61212652		1.88374742
89.51923000		89.57828093		0.92084252		-13		-0.79997339		-1.10616454		1.87020057
89.51923000		89.65790780		1.00046939		-17		-1.02460994		-1.02099804		1.86465950
89.79347000		89.81979245		1.03564995		-12		-0.72339458		-0.29114060		1.84487737
89.79347000		89.86940933		1.08526683		-5		-0.31300280		-0.23071908		1.83405512
90.49506000		90.56772975		1.17519524		1		0.10505789		0.65462828		1.64700306
90.49506000		90.61507546		1.22254094		9		0.59814901		0.11480803		1.62821533
90.32927000		90.31327809		1.20649577		3		0.22065636		-0.17889143		1.62015955
90.32927000		90.29298649		1.18620416		-2		-0.15196243		-0.18873797		1.60972370
90.78021000		90.75872713		1.15682161		0		0.01204604		0.29193117		1.59479026
90.78021000		90.74158690		1.13968138		4		0.24714811		0.22382914		1.58092592
89.12999000		89.14530408		1.16378581		-4		-0.29760358		-1.37163364		1.58010844
89.12999000		89.15052117		1.16900290		-18		-1.12681219		-1.36482862		1.57852791
90.91692000		90.89583532		1.14474755		-8		-0.53552280		0.42529927		1.53370814
90.91692000		90.94438831		1.19330054		6		0.10525454		0.48832794		1.51922348
89.80645000		89.89042368		1.30445348		0		0.01620067		-0.56466289		1.49431477
89.80645000		89.90646836		1.32049816		-8		-0.50304675		-0.54117466		1.48740690
90.51767000		89.84267998		1.25670978		-11		-0.67374860		-1.01954445		1.37051564
90.51767000		89.86209769		1.27612749		-15		-0.91594761		-0.99746534		1.36779357
90.78566000		90.84427217		1.35388120		-10		-0.61325607		0.01835698		1.33414108
90.78566000		90.89958675		1.40919578		-1		-0.08248503		0.08292191		1.32365467
89.78297000		89.83577524		1.48440629		-6		-0.39037601		-0.99898752		1.33204451
89.78297000		89.88592938		1.53456043		-16		-0.98355504		-0.94594204		1.32920353
92.40651000		92.39554863		1.52334875		6		0.39360534		1.61031327		1.28256963
92.40651000		92.43360962		1.56140974		27		1.62266577		1.67080610		1.26007756
90.69371000		92.52198489		1.64978501		27		1.67882775		1.75320260		1.25056606
90.69371000		92.43641752		1.56421764		28		1.72878578		1.69250052		1.22761214
90.63287000		92.21470039		1.34250051		27		1.64354830		1.45557085		1.24093144
90.63287000		92.04905663		1.17685675		24		1.44830446		1.30034626		1.22074921
