GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		psi		atan_tmp		s		x_error
85.83382000		86.04495983		-0.57426954		-97		-5.87767338		-6.51174837		3.95505052		2.55669785		0.66208535		0.53582923
84.88518000		84.94458502		-0.47718800		-107		-6.45257117		-3.94302652		1.36032282		2.58270370		0.73973836		0.54128685
84.88518000		85.04082027		-0.38095275		-82		-4.96939297		-3.84958352		1.26413199		2.58545153		0.73151695		0.54186353
86.62979000		86.70026663		-0.26467698		-55		-3.34783762		-2.19016760		-0.39536529		2.58553289		0.70706104		0.54188060
86.62979000		86.81904393		-0.14589968		-40		-2.39923530		-2.07041283		-0.51415836		2.58457119		0.70276022		0.54167877
84.79979000		84.83711703		-0.06068237		-43		-0.08236081		-4.06113851		1.46860262		2.59253589		0.69839752		0.54335031
84.79979000		84.89895679		0.00115739		-61		-3.71697053		-4.00154090		1.40591316		2.59562774		0.69996044		0.54399919
86.82090000		84.96011152		0.06231212		-82		-4.95406643		-5.63243327		3.44537587		2.18705739		0.73801716		0.53465863
86.82090000		85.03771272		0.13991332		-95		-0.26701756		-5.56705688		3.36776514		2.19929174		0.72998345		0.53765243
84.72895000		84.79360105		0.23682526		-94		-5.67680741		-5.82383777		3.61191201		2.21192576		0.72350891		0.54074408
84.72895000		84.92275024		0.36597445		-96		-5.77208874		-5.70913258		3.48460877		2.22452380		0.72736563		0.54382698
87.30817000		87.40103792		0.50885375		-83		-4.98124942		-3.42234071		1.19776116		2.22457955		0.78630562		0.54384062
87.30817000		87.54289847		0.65071430		-62		-3.75242659		-3.28470732		1.05606643		2.22864089		0.77359282		0.54483449
84.69134000		84.79221170		0.80061718		-72		-4.33944045		-6.03915428		3.80665496		2.23249932		0.75775350		0.54577872
84.69134000		84.91998271		0.92838819		-96		-5.77891451		-5.92512890		3.67927251		2.24585639		0.75999320		0.54904745
85.55019000		85.60209485		1.02466389		-91		-5.47856875		-4.19980981		1.96697513		2.23283468		0.83856879		0.54586078
85.55019000		85.74798660		1.17055564		-75		-4.51607904		-4.05894324		1.81916127		2.23978197		0.82364547		0.54756092
89.11387000		89.21898619		1.36699822		-51		-3.06952388		-0.57598216		-1.65189645		2.22787860		0.79443416		0.54464795
89.11387000		89.37329832		1.52131034		-18		-0.31303373		-0.41547095		-1.80620542		2.22167637		0.79121175		0.54313017
86.48446000		86.55189754		1.62673151		-25		-1.55558930		-3.11721114		1.19305941		1.92415172		0.86350071		0.53752661
86.48446000		86.63645485		1.71128882		-49		-2.95776380		-3.03801799		1.10848462		1.92953337		0.83936164		0.53903115
88.64531000		86.68210009		1.75693406		-50		-3.02280325		-2.95821142		1.06281935		1.89539208		0.80330207		0.52948647
88.64531000		86.74765542		1.82248939		-49		-2.95147893		-2.89758195		0.99728768		1.90029427		0.80289519		0.53085692
85.53452000		85.61881467		1.94522277		-56		-1.04790922		-4.06648159		2.12610819		1.94037340		0.82010142		0.54206171
85.53452000		85.72384870		2.05025680		-67		-2.99947880		-4.25784420		2.30871511		1.94912908		0.92657674		0.54450958
88.24606000		88.29772612		2.13638465		-59		-3.54321441		-1.63094072		-0.26375679		1.89469751		0.85617282		0.52929230
88.24606000		88.43868758		2.27734611		-35		-2.13239264		-1.48704393		-0.40606009		1.89310402		0.84812281		0.52884682
87.48863000		87.60446461		2.44070988		-31		-1.86637556		-2.32844054		0.42808714		1.90035340		0.86141998		0.53087345
87.48863000		87.69698531		2.53323058		-37		-2.27706442		-2.35532145		0.45355711		1.90176434		0.94284189		0.53126790
89.29227000		89.32643881		2.58558658		-27		-1.65669536		-0.69251812		-1.17591071		1.86842883		0.88847409		0.52194878
89.29227000		89.41244785		2.67159448		-11		-0.20901312		-0.60075105		-1.26192284		1.86267389		0.87201290		0.52033999
89.91458000		89.97689196		2.75996700		-6		-0.39374453		-0.01126124		-1.82638001		1.83764125		0.86017580		0.51334227
89.91458000		90.00890590		2.79198095		0		-0.04136413		0.02949243		-1.85838578		1.82889336		0.86821903		0.51089689
88.83591000		88.85078878		2.81094577		-8		-0.49537683		-1.31334835		-0.50188887		1.81523721		0.95598268		0.50707952
88.83591000		88.87221262		2.83236961		-20		-1.21435511		-1.28910249		-0.52365454		1.81275703		0.93055630		0.50638623
89.81501000		89.81029144		2.82722024		-16		-0.97009245		-0.32387888		-1.46173711		1.78561599		0.89543926		0.49879954
89.81501000		89.83326567		2.85019447		-6		-0.41206533		-0.29398396		-1.48467183		1.77865579		0.89354572		0.49685400
88.38540000		88.44036197		2.92130773		-14		-0.86775798		-1.50398346		-0.09176202		1.59574548		0.92827512		0.50144788
88.38540000		88.48079391		2.96173968		-25		-1.54898646		-1.54687047		-0.04830199		1.59517246		0.97841714		0.50126772
88.49132000		88.48851031		2.96945608		-25		-1.06743478		-1.51511353		-0.05602302		1.57113655		0.92256273		0.49371085
88.49132000		88.54265428		3.02360005		-25		-1.06738442		-1.46054828		-0.11015525		1.57070353		0.91542066		0.49357471
88.35115000		88.41185381		3.11452192		-25		-1.53355794		-1.59556715		0.02066308		1.57490407		0.93209708		0.49489534
88.35115000		88.48470751		3.18737562		-25		-1.51989394		-0.92500787		-0.65176662		1.57677449		1.05575166		0.49548340
92.79977000		92.83182259		3.24593271		4		0.29655116		3.43797478		-4.99889248		1.56091770		1.00984224		0.49049810
92.79977000		92.92091425		3.33502437		54		3.25590214		3.55521021		-5.08794221		1.53273200		0.97300409		0.48163685
86.91539000		86.95388672		3.39716204		18		1.71507612		-2.39090179		0.87902717		1.51187463		0.95094855		0.47507968
86.91539000		86.90766032		3.35093564		-35		-2.14879476		-2.44210576		0.92521336		1.51689240		0.97102826		0.47665716
89.60317000		89.54484173		3.25013287		-27		-1.31604928		0.09185646		-1.58457877		1.49272231		1.02538714		0.46905867
89.60317000		89.53330199		3.23859314		-5		-0.32409714		0.08919244		-1.57302551		1.48383308		0.99446136		0.46626415
89.71263000		89.79021018		3.32898761		3		0.19176190		0.37741225		-1.82988962		1.45247737		0.96543678		0.45640699
89.71263000		89.85117948		3.38995690		6		0.01458449		0.59373412		-1.89090333		1.29716921		0.97363033		0.45287485
88.02510000		88.00363666		3.36865546		-11		-0.66738528		-1.99243664		0.71176451		1.28067212		1.06415488		0.44711336
88.02510000		87.97871834		3.34373715		-32		-1.96916393		-2.02193550		0.73667616		1.28525934		1.02415474		0.44871540
90.54947000		90.55876292		3.35179030		-11		-0.70013973		0.56662500		-1.84334680		1.27672180		0.99914435		0.44573375
90.54947000		90.62633413		3.41936151		9		0.01646766		0.64592385		-1.91092446		1.26500062		0.98936323		0.44164027
88.30179000		88.37922102		3.52547623		-3		-0.18760777		-1.03035082		-0.22866833		1.25901915		1.12213087		0.43955133
88.30179000		88.38511570		3.53137091		-18		-1.10029178		-1.02284953		-0.23464261		1.25749215		1.06895593		0.43901805
92.08637000		92.05203017		3.47024345		7		0.44523367		2.69152368		-3.90151921		1.20999552		1.00770760		0.42243091
92.08637000		92.10512013		3.52333340		40		2.42218363		2.76914599		-3.95452742		1.18538143		0.99744569		0.41383522
89.41356000		89.47821765		3.61225666		25		1.55182042		0.14541905		-1.32769499		1.18227594		1.04358948		0.41275073
89.41356000		89.40064608		3.53468509		-2		-0.12809694		-0.58850020		-0.58652111		1.17502131		1.09960222		0.41021732
88.35382000		88.21243028		3.36221152		-17		-1.07409277		-1.68088209		0.60169089		1.07919121		1.03194678		0.41442868
88.35382000		88.16266565		3.31244689		-28		-1.70493182		-1.73516354		0.65154236		1.08362118		1.02714646		0.41613027
89.17172000		89.23502901		3.38627695		-21		-1.10768771		-0.66163970		-0.42082746		1.08246716		1.04020873		0.41568700
89.17172000		89.33358359		3.48483154		-10		-0.52402876		-0.55986880		-0.51937586		1.07924466		1.07514457		0.41444921
88.00833000		88.08518945		3.59121218		-13		-0.81085960		-1.23216155		0.18087750		1.05128405		1.04706774		0.40370940
88.00833000		88.15723968		3.66326241		-19		-1.15928760		-1.16105954		0.10881506		1.05224448		1.03775098		0.40407830
90.30479000		90.32270391		3.68888137		-4		-0.28010530		1.04030057		-2.05665969		1.01635912		1.03670803		0.39029482
90.30479000		90.38569251		3.75186997		16		1.01693372		1.11742425		-2.11960038		1.00217613		1.06101019		0.38484725
86.88555000		86.94989026		3.83397344		-13		-0.82093336		-2.94078488		1.92216555		1.01861933		1.05466684		0.39116295
86.88555000		86.91930369		3.80338687		-48		-1.19739190		-2.98450273		1.95270158		1.03180115		1.05159497		0.39622603
91.78542000		91.74577547		3.74646406		-15		-0.93749673		1.92880423		-2.87374229		0.94493807		1.07206137		0.36286306
91.78542000		91.87136627		3.87205487		29		1.76773445		2.08914244		-2.93448245		0.84534001		1.14517538		0.35412088
90.74934000		90.90312226		4.06227540		26		1.61625800		1.11898731		-1.96622820		0.84724089		1.07716234		0.35491730
90.74934000		90.88824282		4.04739597		18		0.43156992		1.11876015		-1.95143348		0.83267332		1.07272899		0.34881394
90.13312000		90.01744130		3.88932387		13		0.81801643		0.24983716		-1.08072663		0.83088947		1.12234304		0.34806656
90.13312000		89.91528194		3.78716451		4		0.27879565		0.13111428		-0.95461437		0.82350009		1.14973884		0.34497066
91.25082000		91.21526750		3.73282278		9		0.57477017		1.45065193		-2.25458875		0.80393681		1.08628217		0.33677436
91.25082000		91.16463413		3.68218941		20		1.23816627		1.41631787		-2.20402990		0.78771204		1.08168941		0.32997683
88.40097000		88.39480012		3.67303892		-1		0.06550069		-1.91339462		1.09693385		0.81646076		1.21551637		0.34202143
88.40097000		88.33177869		3.61001748		-29		-1.64610447		-1.98455020		1.15993395		0.82461625		1.14953486		0.34543829
89.99245000		89.90861983		3.52137248		-17		-1.07458504		-0.37846155		-0.41689407		0.79535563		1.10179195		0.33317918
89.99245000		89.99897451		3.61172716		-5		-0.35129866		-0.28488389		-0.50723388		0.79211777		1.10925233		0.33182265
89.21929000		89.37402018		3.79378125		-10		-0.64825089		-0.90973588		0.11781871		0.79191717		1.13960678		0.33173861
89.21929000		89.40539485		3.82515592		-15		-0.90745386		-0.82892072		0.09725997		0.73166075		1.19760103		0.33203516
88.85076000		88.84321829		3.81243552		-18		-1.11208573		-1.38008450		0.65952401		0.72056049		1.11981329		0.32699721
88.85076000		88.94345343		3.91267067		-22		-1.35833805		-1.28457676		0.55925008		0.72532668		1.13977769		0.32916039
90.81521000		90.88131836		4.02834034		-10		-0.63989052		0.66403967		-1.36306539		0.69902573		1.20734877		0.31722355
90.81521000		90.97740320		4.12442518		5		0.30696956		0.76872111		-1.45693156		0.68821046		1.15701383		0.31231501
90.98629000		91.07264579		4.22390179		12		0.33292272		0.86986769		-1.55442349		0.68455580		1.14632226		0.31065635
90.98629000		91.08048362		4.23173961		14		0.84629910		0.89003764		-1.56231628		0.67227864		1.17254583		0.30508437
