GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result
90.26394000		90.23611278		2.52258723		-18		-1.09457251
89.19258000		89.21925702		2.55522704		-14		-0.86869990
89.19258000		89.28360554		2.61957555		-24		-1.49313389
89.56651000		89.57686798		2.64617357		-26		-1.59842375
89.56651000		89.60077443		2.67008002		-24		-2232.82000051
89.21482000		89.26041086		2.74411557		-23		-1.41319385
89.21482000		89.33910322		2.82280793		-26		-1.57487036
91.55652000		91.56988044		2.86657709		-23		-2244.11768390
91.55652000		91.62081452		2.91751116		-7		-249.39335041
90.92575000		90.97031799		2.99547925		5		0.33275761
90.92575000		91.01825986		3.04342112		2		0.13390569
90.16134000		90.15514029		3.03883151		-1		-41.77051272
90.16134000		90.14407305		3.02776427		-6		-532.53833731
89.08135000		89.08560611		3.03265198		-15		-0.95024604
89.08135000		89.09005802		3.03710389		-23		-1.41100005
90.10124000		90.12310578		3.06864988		-20		-1.25515320
90.10124000		90.19575692		3.14130102		-6		-0.41270609
90.27534000		90.31406763		3.21214638		1		0.09865369
90.27534000		90.34332902		3.24140777		3		0.20909096
92.29595000		90.34740117		3.24547992		4		372.08258381
92.29595000		90.34509287		3.24317162		3		0.23467489
91.98758000		91.97781375		3.23266962		12		0.72002506
91.98758000		91.95691202		3.21176789		25		1.52722809
89.84848000		89.83815238		3.19670879		22		1.32170260
89.84848000		89.78354671		3.14210311		6		0.36175520
91.04053000		89.67254734		3.03110374		-9		-0.54074272
91.04053000		89.61211694		2.97067335		-14		-0.86893013
87.88158000		87.91586201		3.00892251		-24		-1.44650211
87.88158000		87.97329753		3.06635803		-36		-2.17787285
91.28954000		91.31720030		3.11467943		-27		-1.64524384
91.28954000		91.43563694		3.23311607		0		-0.03208662
90.14122000		90.24815301		3.39079473		16		1707.67487528
90.14122000		90.29436730		3.43700902		9		0.57170224
90.85309000		90.78933737		3.36364788		6		472.88473735
90.85309000		90.72905181		3.30336232		6		102.55710919
91.57530000		91.57618957		3.30084362		10		0.60669428
91.57530000		91.55363439		3.27828844		16		0.96540677
89.23383000		89.20867323		3.23796199		13		0.83279040
89.23383000		89.16550837		3.19479713		3		0.18790062
90.71992000		90.67118565		3.12079863		-3		-391.93500808
90.71992000		90.61931215		3.06892513		4		0.28718991
90.50888000		90.53796508		3.09942452		11		0.68535435
90.50888000		90.55419525		3.11565468		7		0.43812707
90.46854000		90.42104598		3.06134272		3		0.22796217
90.46854000		90.36277177		3.00306851		3		0.19762666
91.28689000		90.35738000		2.99767674		2		199.91849866
91.28689000		90.36272173		3.00301847		2		0.17900549
90.08143000		90.06497813		2.98532782		1		0.06256164
90.08143000		90.05936360		2.97971329		0		-0.05244186
90.20118000		90.20242637		2.98177705		0		-0.04271234
90.20118000		90.20020287		2.97955356		0		0.02254926
89.94156000		89.94813415		2.98640567		0		-0.02658710
89.94156000		89.95461228		2.99288380		-3		-0.19252826
90.10911000		90.10173097		2.98496868		-7		-0.42087409
90.10911000		90.09799677		2.98123448		-9		-0.57482653
89.80344000		89.83665607		3.01814410		-10		-0.65402755
89.80344000		89.89666104		3.07814907		-12		-0.74712035
90.71217000		90.74814175		3.12461428		-6		-841.47086349
90.71217000		90.80945351		3.18592604		1		-117.55536373
91.34192000		91.37732128		3.24131828		7		0.43155206
91.34192000		91.37221865		3.23621565		12		0.72455816
90.62421000		90.59580399		3.20433798		9		0.54359337
90.62421000		90.54109786		3.14963185		3		0.20625601
89.90531000		89.84661927		3.07936421		-3		59.86027168
89.90531000		89.81665108		3.04939602		-9		-0.56319610
90.16150000		90.18628517		3.07645043		-8		-0.52885602
90.16150000		90.22851856		3.11868337		-6		-0.37277847
90.73614000		90.77111281		3.16183570		-4		-57.85447813
90.73614000		90.81778151		3.20850440		-2		-0.17419904
91.91367000		91.92827693		3.23394334		4		0.25166975
91.91367000		91.93049183		3.23615813		14		876.96757583
90.91521000		90.92271744		3.24409827		10		0.62994739
90.91521000		90.87814871		3.19952953		2		0.14380247
90.27433000		90.18141397		3.09948984		-3		42.83037097
90.27433000		90.14727578		3.06535165		-8		-0.52906920
90.14743000		90.17557016		3.09646385		-6		-0.39719824
90.14743000		90.21604612		3.13693981		-3		-0.19963741
90.19261000		90.22802062		3.18680114		-2		-0.16356085
90.19261000		90.25819177		3.21697229		-2		-90.73340479
91.37753000		91.36821068		3.20778521		4		0.28963488
91.37753000		91.37734898		3.21692351		13		0.80279132
90.35415000		90.35944659		3.22574351		11		0.70274888
90.35415000		90.27539584		3.14169277		3		0.23567292
90.07222000		89.97358022		3.02886619		-1		-0.08439489
90.07222000		89.94626554		3.00155151		-4		-0.24483066
90.29184000		90.31615954		3.02853108		-2		-0.15525550
90.29184000		90.33105219		3.04342373		0		-36.67183507
90.04864000		90.07089216		3.06820954		0		-0.03362301
90.04864000		90.09374181		3.09105919		-2		-0.14317898
91.38277000		91.37771495		3.08661234		6		0.39219326
91.38277000		91.37761044		3.08650783		18		1.08215444
89.91252000		89.90980359		3.08537084		7		0.46694239
89.91252000		89.82909756		3.00466480		-8		-0.50757850
90.67065000		90.58046303		2.90241614		-6		-0.37921421
90.67065000		90.59525406		2.91720717		0		-0.03833509
90.35741000		90.68428719		3.00624030		2		0.16608108
90.35741000		90.69760636		3.01955947		6		0.41629057
90.16736000		90.14537132		2.99287201		5		0.31380205
90.16736000		90.12026911		2.96776980		0		0.03328146
90.84500000		90.80697423		2.92143042		4		0.25215881
90.69743000		90.69728544		2.88582760		9		0.59574746
90.69743000		90.70490101		2.89344317		10		0.60490192
90.69743000		90.66167286		2.85021502		7		0.47450507
90.46783000		90.37982093		2.75562873		2		0.14987835
90.46783000		90.31024960		2.68605740		-1		-0.11643997
89.77810000		89.75996420		2.66478646		-7		-0.42996414
89.77810000		89.76501524		2.66983750		-10		-0.63970363
90.17758000		90.21658754		2.71701549		-4		-0.28274679
90.17758000		90.29565147		2.79607942		1		0.10159712
89.75040000		89.81982438		2.86617377		-1		-0.09983771
89.75040000		89.82604798		2.87239737		-5		-0.30009821
90.45630000		89.81621214		2.86256154		-4		-0.28159620
90.45630000		89.85106603		2.89741543		-4		-0.28108380
90.22352000		90.26573686		2.94165837		-3		-191.05323469
90.30023000		90.30044599		2.97826587		-2		-0.17666386
90.30023000		90.34934402		3.02716390		-2		-0.12740035
90.30023000		90.38644254		3.06426242		-1		-0.08253274
90.19991000		90.20837194		3.07513955		-2		-0.13269729
90.19991000		90.20862165		3.07538926		-3		-189.97452303
90.58846000		90.59087603		3.07724521		0		-168.96135203
90.58846000		90.61226313		3.09863231		6		0.36589764
90.79013000		90.81269737		3.12411745		10		0.61527143
90.79013000		90.79468386		3.10610393		12		1248.32523207
90.52093000		90.43573358		3.01707447		8		0.49979672
90.52093000		90.33901398		2.92035487		2		0.17627204
90.71970000		90.63764033		2.83176796		2		0.15940189
89.91231000		89.91228089		2.78915744		4		0.27415043
89.91231000		89.91888764		2.79576419		-1		-0.11023241
