GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			tan_tmp			s			x_error
264.79108000		264.76564377		-0.19705441		500		88.79019315		174.76571952		90.00000154		264.76564377		-174.76571952		-4.21530633		8.00924642		0.73704000
264.79108000		264.77524792		-0.21488906		500		174.78006934		174.77526238		90.00000154		264.77524792		-174.77526238		-4.21530633		8.00924642		0.73704000
264.79108000		264.79022632		-0.23134763		500		117.88909152		174.79034836		90.00000154		264.79022632		-174.79034836		-4.21530633		8.00924642		0.73704000
264.79108000		264.77420116		-0.24737279		500		174.77847592		174.77422646		90.00000154		264.77420116		-174.77422646		-4.21530633		8.00924642		0.73704000
264.79108000		264.78896051		-0.27184005		500		174.77768857		174.78902347		90.00000154		264.78896051		-174.78902347		-4.21530633		8.00924642		0.73704000
264.79108000		264.76207260		-0.29872796		500		174.77792965		174.76213967		90.00000154		264.76207260		-174.76213967		-4.21530633		8.00924642		0.73704000
264.79108000		264.79095565		-0.32540669		500		114.13050092		174.73559456		90.00000154		264.79095565		-174.73559456		-4.21530633		8.00924642		0.73704000
264.79108000		264.77488684		-0.34147550		500		174.77607519		174.77490188		90.00000154		264.77488684		-174.77490188		-4.21530633		8.00924642		0.73704000
264.79108000		264.79019001		-0.34327480		500		174.77584515		174.79020096		90.00000154		264.79019001		-174.79020096		-4.21530633		8.00924642		0.73704000
264.79108000		264.77042097		-0.36304383		500		174.77596251		174.77067899		90.00000154		264.77042097		-174.77067899		-4.21530633		8.00924642		0.73704000
264.79108000		264.74734921		-0.38611559		500		174.77477763		174.74739513		90.00000154		264.74734921		-174.74739513		-4.21530633		8.00924642		0.73704000
264.79108000		264.76362485		-0.41536168		500		107.92517070		174.76398283		90.00000154		264.76362485		-174.76398283		-4.21530633		8.00924642		0.73704000
264.79108000		264.78359960		-0.48960119		500		174.77260743		174.78386281		90.00000154		264.78359960		-174.78386281		-4.21530633		7.99829389		0.73704000
264.79108000		264.65861421		-0.61458658		500		129.33335599		174.65980935		90.00000154		264.65861421		-174.65980935		-4.21530633		7.99829389		0.73704000
264.79108000		264.77136548		-0.79461055		500		116.22471175		174.77276491		90.00000154		264.77136548		-174.77276491		-4.21530633		7.97638921		0.73704000
264.79108000		264.52884353		-1.03713249		500		108.27268009		174.53062426		90.00000154		264.52884353		-174.53062426		-4.21530633		7.97638921		0.73704000
75.27419000		75.27226210		-1.34688461		500		153.35075929		174.22159094		90.00000154		75.27226210		-174.22159094		-4.21530633		7.97638921		0.73704000
75.27419000		74.91398156		-1.70516516		500		163.25455688		-15.08484776		90.00000154		74.91398156		15.08484776		-4.11408573		7.94189242		0.71928000
75.04085000		75.02574667		-2.10594227		500		151.94687604		-14.97288346		90.00000154		75.02574667		14.97288346		-4.06346575		7.87535794		0.71040000
75.04085000		74.57633139		-2.55535755		500		141.02383436		-15.42208490		90.00000154		74.57633139		15.42208490		-3.37797145		7.86755309		0.70830152
75.04085000		74.07875553		-3.05293341		500		131.32668800		-15.91722895		90.00000154		74.07875553		15.91722895		-3.34605458		7.84312648		0.70159380
69.97928000		69.46903828		-3.59071816		500		18.00159188		-20.52856631		90.00000154		69.46903828		20.52856631		-3.26560690		7.77440244		0.68468866
76.23028000		76.16165754		-4.16671910		500		107.76985896		-13.83330423		90.00000154		76.16165754		13.83330423		-3.25818077		7.69505439		0.68312828
