GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		path_angle		dr_yaw_angle		psi		stanley_atan		s		triangle_area		distance_a		distance_b		distance_c		x_error
309.79926000		309.83792875		-77.91003709		-6		0.00000000		-0.38248196		0.00000000		309.83792875		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
310.06475000		310.12491347		-77.75782953		0		0.00000000		-0.01688925		0.00000000		310.12491347		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
310.22663000		310.22413240		-77.90509754		4		0.00000000		0.28492794		0.00000000		310.22413240		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
309.69234000		309.65335050		-78.31950255		8		0.00000000		0.49766336		0.00000000		309.65335050		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
307.77290000		307.75682692		-78.78410714		1		0.00000000		0.08544274		0.00000000		307.75682692		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
308.44453000		308.48862862		-79.10447123		4		0.00000000		0.28234649		0.00000000		308.48863272		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
306.99806000		306.97204011		-79.49941873		-5		0.00000000		-0.30867185		0.00000000		306.97204011		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
307.11114000		307.10697132		-79.91392800		-3		0.00000000		-0.19028904		0.00000000		307.10697132		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
307.60578000		307.59928657		-80.06468496		2		0.00000000		0.12197981		0.00000000		307.59928657		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
306.76134000		306.66938976		-80.60081816		12		0.00000000		0.74239559		0.00000000		306.66938400		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
305.27905000		305.16039643		-81.79704513		38		0.00000000		2.28171231		0.00000000		305.16038883		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
302.29220000		301.96247070		-84.54571358		80		0.00000000		4.85353250		0.00000000		301.96245118		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
296.12441000		295.51686836		-90.46163496		173		0.00000000		10.38340799		0.00000000		295.51684175		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
286.65098000		285.64152196		-101.61064242		312		0.00000000		18.73345284		0.00000000		285.64152196		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
267.17503000		265.98205207		-117.47419081		316		0.00000000		18.97591732		0.00000000		265.98205207		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
250.10693000		248.94825699		-132.11435312		248		0.00000000		14.93388750		0.00000000		248.94825699		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
238.55454000		237.73472001		-143.37041875		206		0.00000000		12.38608681		0.00000000		237.73472001		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
227.91999000		227.17581644		-151.90903923		140		0.00000000		8.42232283		0.00000000		227.17577164		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
223.17133000		222.61521188		-157.94698077		113		0.00000000		6.83105087		0.00000000		222.61518103		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
214.97594000		214.68862647		-161.86835581		40		0.00000000		2.42026265		0.00000000		214.68862647		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
212.67548000		212.71063851		-163.81479717		12		0.00000000		0.73006419		0.00000000		212.71064047		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
214.80788000		214.91691211		-163.95754949		21		0.00000000		1.29857866		0.00000000		214.91691427		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
213.07558000		213.04085135		-164.84906948		-13		0.00000000		-0.81710158		0.00000000		213.04085135		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
213.98368000		214.03085644		-163.98832110		-19		0.00000000		-1.18875499		0.00000000		214.03085644		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
215.42493000		215.49148060		-163.09297877		-18		0.00000000		-1.09892408		0.00000000		215.49148060		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
216.28426000		216.34376024		-161.82686753		-22		0.00000000		-1.34478639		0.00000000		216.34376024		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
217.45486000		217.56928400		-160.91278503		-19		0.00000000		-1.19253184		0.00000000		217.56928400		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
217.46551000		217.49042884		-160.06364278		-18		0.00000000		-1.11433341		0.00000000		217.49042914		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
217.91588000		217.83109988		-160.19795992		29		0.00000000		1.74039987		0.00000000		217.83109988		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
213.93594000		213.44489072		-163.19843570		113		0.00000000		6.82555676		0.00000000		213.44489072		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
208.41260000		207.58666798		-170.41646101		261		0.00000000		15.66160582		0.00000000		207.58662794		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
193.68469000		192.29678508		-183.73973449		391		0.00000000		23.46293661		0.00000000		192.29671208		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
172.57652000		171.07702609		-201.40848207		366		0.00000000		21.97564802		0.00000000		171.07702609		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
151.47804000		150.08192535		-216.86626557		253		0.00000000		15.20414828		0.00000000		150.08149174		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
143.88121000		142.86325133		-228.47157064		230		0.00000000		13.82625360		0.00000000		142.86325133		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
131.75006000		131.06962407		-236.84298516		130		0.00000000		7.81386096		0.00000000		131.06962407		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
127.41574000		126.93601784		-242.58773413		96		0.00000000		5.80455330		0.00000000		126.93601784		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
123.83187000		123.59750562		-245.94588428		54		0.00000000		3.28891452		0.00000000		123.59749347		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
120.73472000		120.61287198		-247.65700042		5		0.00000000		0.34611859		0.00000000		120.61286498		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
121.71137000		121.71441306		-248.18670650		3		0.00000000		0.21541987		0.00000000		121.71441450		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
120.10194000		120.17044981		-247.74201977		-29		0.00000000		-1.77325689		0.00000000		120.17045062		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
121.36882000		121.47279541		-247.10966629		-29		0.00000000		-1.74582158		0.00000000		121.47279541		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
123.50912000		123.55116821		-245.86277047		-18		0.00000000		-1.13605456		0.00000000		123.55117171		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
123.95626000		124.07028058		-244.85920346		-20		0.00000000		-1.23457716		0.00000000		124.07028058		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
125.74321000		125.79189240		-244.33138268		-6		0.00000000		-0.39547842		0.00000000		125.79189240		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
124.33859000		124.39789805		-243.83098270		-14		0.00000000		-0.86406274		0.00000000		124.39789805		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
126.22732000		126.34226207		-243.03292548		-11		0.00000000		-0.66425668		0.00000000		126.34226207		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
