GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		path_angle		dr_yaw_angle		psi		stanley_atan		s		triangle_area		distance_a		distance_b		distance_c		x_error
0.12919000		0.05536450		-158.18914027		33		0.00000000		2.02991610		0.00000000		0.05536450		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
356.34267000		356.00811295		-161.45779408		-49		0.00000000		-2.95870097		0.00000000		356.00811295		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
355.65958000		355.90396059		-161.87888350		-56		0.00000000		-3.36333531		0.00000000		355.90396059		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
359.97023000		360.48937704		-157.72390327		-37		0.00000000		-2.25367296		0.00000000		360.48940265		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
5.55206000		5.70842205		-154.02218095		122		0.00000000		7.32555667		0.00000000		5.70842205		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
4.16144000		3.75635380		-155.69370762		66		0.00000000		4.01825037		0.00000000		3.75635380		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
359.12909000		358.67752156		-159.70249097		93		0.00000000		5.60156731		0.00000000		358.67750106		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
357.09658000		357.30613415		-160.53383175		-158		0.00000000		-9.51323273		0.00000000		357.30613415		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
358.32626000		358.23466045		-159.96515287		-7		0.00000000		-0.43480963		0.00000000		358.23466045		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
358.74865000		358.94732506		-159.23451097		-9		0.00000000		-0.55861244		0.00000000		358.94732506		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
0.75242000		0.83647068		-157.68115234		-168		0.00000000		-10.08544866		0.00000000		0.83647068		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
1.14832000		1.04150519		-158.00758278		123		0.00000000		7.39159062		0.00000000		1.04150519		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
