GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			atan_tmp		s			triangle_area		distance_a		distance_b		distance_c		x_error
268.04676000		268.04768185		0.00092185		-88		0.00000000		-179.69722096		87.74490722		268.04768185		179.69722096		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04767308		0.00091308		-89		0.00000000		-179.69722882		87.74490722		268.04767308		179.69722882		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04766415		0.00090415		-91		0.00000000		-179.69723665		87.74490722		268.04766415		179.69723665		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04765544		0.00089544		-94		-5.66046792		-179.69724428		87.74490722		268.04765544		179.69724428		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04762613		0.00086613		-95		-5.75031654		-179.69727729		87.74490722		268.04762613		179.69727729		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04758764		0.00082764		-97		-5.84016518		-179.69730949		87.74490722		268.04758764		179.69730949		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04754937		0.00078937		-98		-5.93001384		-179.69734249		87.74490722		268.04754937		179.69734249		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04751072		0.00075072		-100		0.00000000		-179.69737653		87.74490722		268.04751072		179.69737653		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04747245		0.00071246		-101		0.00000000		-179.69741047		87.74490722		268.04747245		179.69741047		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04743373		0.00067373		-103		0.00000000		-179.69744567		87.74490722		268.04743373		179.69744567		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04739531		0.00063531		-106		-6.37925736		-179.69747833		87.74490722		268.04739531		179.69747833		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04735720		0.00059720		-107		-6.46910612		-179.69754364		87.74490722		268.04735720		179.69754364		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04731094		0.00055094		-109		-6.55895489		-179.69754364		87.74490722		268.04731094		179.69754364		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04724259		0.00048259		-109		-6.55895489		-179.69754364		87.74490722		268.04724266		179.69754364		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04717390		0.00041390		-109		0.00000000		-179.69768956		87.74490722		268.04717390		179.69768956		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04710398		0.00034398		-110		-6.64880374		-179.69780276		87.74490722		268.04710398		179.69780276		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04700630		0.00024630		-112		-6.73865264		-179.69780276		87.74490722		268.04700630		179.69780276		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04693486		0.00017486		-113		-6.82850159		-179.69796693		87.74490722		268.04693486		179.69796693		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04682578		0.00006578		-115		-6.91835057		-179.69796693		87.74490722		268.04682578		179.69796693		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04674480		-0.00001520		-116		-7.00819961		-179.69808377		87.74490722		268.04674480		179.69808377		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04667638		-0.00008362		-118		-7.09804870		-179.69822740		87.74490722		268.04667638		179.69822740		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04664957		-0.00011043		-119		-7.18789781		-179.69825784		87.74490722		268.04664957		179.69825784		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665090		-0.00010910		-121		-7.27774694		-179.69825665		87.74490722		268.04665090		179.69825665		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665220		-0.00010780		-122		0.00000000		-179.69825553		87.74490722		268.04665220		179.69825553		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665350		-0.00010650		-124		0.00000000		-179.69825438		87.74490722		268.04665350		179.69825438		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665479		-0.00010521		-125		0.00000000		-179.69825329		87.74490722		268.04665479		179.69825329		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665613		-0.00010387		-127		-2.96501049		-179.69825216		87.74490722		268.04665613		179.69825216		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665746		-0.00010254		-130		-7.81684170		-179.69825093		87.74490722		268.04665746		179.69825093		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665880		-0.00010120		-131		-7.90669083		-179.69824861		87.74490722		268.04665880		179.69824861		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04666692		-0.00009308		-133		-7.99653995		-179.69824744		87.74490722		268.04666692		179.69824744		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04670827		-0.00005173		-134		-8.08638907		-179.69821357		87.74490722		268.04670827		179.69821357		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04674954		-0.00001046		-136		0.00000000		-179.69817565		87.74490722		268.04674954		179.69817565		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04679027		0.00003027		-137		0.00000000		-179.69813959		87.74490722		268.04679027		179.69813959		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04683166		0.00007166		-139		0.00000000		-179.69810315		87.74490722		268.04683166		179.69810315		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04687355		0.00011355		-140		0.00000000		-179.69806465		87.74490722		268.04687355		179.69806465		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04691465		0.00015465		-143		-8.62548344		-179.69802764		87.74490722		268.04691465		179.69802764		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04695530		0.00019530		-145		-8.71533243		-179.69795787		87.74490722		268.04695530		179.69795787		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04699781		0.00023781		-146		-8.80518141		-179.69792259		87.74490722		268.04699781		179.69792259		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04703928		0.00027928		-148		0.00000000		-179.69788714		87.74490722		268.04703928		179.69788714		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04707356		0.00031356		-149		0.00000000		-179.69785029		87.74490722		268.04707356		179.69785029		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04708494		0.00032494		-151		0.00000000		-179.69783053		87.74490722		268.04708494		179.69783053		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04709623		0.00033623		-154		-9.25442607		-179.69781103		87.74490722		268.04709623		179.69781103		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04710761		0.00034761		-155		-9.34427497		-179.69780093		87.74490722		268.04710761		179.69780093		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04711896		0.00035896		-157		-9.43412387		-179.69779131		87.74490722		268.04711896		179.69779131		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04713032		0.00037032		-158		0.00000000		-179.69778183		87.74490722		268.04713032		179.69778183		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04714174		0.00038174		-160		0.00000000		-179.69777194		87.74490722		268.04714174		179.69777194		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04715314		0.00039314		-161		0.00000000		-179.69776172		87.74490722		268.04715314		179.69776172		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
